,Team,Nickname,Conference
0,Adams State University,Grizzlies,RMAC
1,Albany State University,Golden Rams,SIAC
2,Allen University,Yellow Jackets,SIAC
3,American International College,Yellow Jackets,NE-10
4,Anderson University,Trojans,SAC
5,Angelo State University,Rams,LSC
6,Arkansas Tech University,Wonder Boys,GAC
7,University of Arkansas at Monticello,Boll Weevils,GAC
8,Ashland University,Eagles,G-MAC
9,Assumption University,Greyhounds,NE-10
10,Augustana University,Vikings,NSIC
11,Barton College,Bulldogs,SAC
12,Bemidji State University,Beavers,NSIC
13,Benedict College,Tigers,SIAC
14,Bentley University,Falcons,NE-10
15,Black Hills State University,Yellow Jackets,RMAC
16,Bloomsburg University of Pennsylvania,Huskies,PSAC
17,Bluefield State University,Big Blues,CIAA
18,Bowie State University,Bulldogs,CIAA
19,California (PA),Vulcans,PSAC
20,Carson–Newman University,Eagles,SAC
21,Catawba College,Indians,SAC
22,University of Central Missouri,Mules,MIAA
23,University of Central Oklahoma,Bronchos,MIAA
24,Central State University,Marauders,SIAC
25,Central Washington University,Wildcats,LSC
26,Chadron State College,Eagles,RMAC
27,University of Charleston,Golden Eagles,MEC
28,Chowan University,Hawks,GSC
29,Clarion,Golden Eagles,PSAC
30,Clark Atlanta University,Panthers,SIAC
31,Colorado Mesa University,Mavericks,RMAC
32,Colorado Mines,Orediggers,RMAC
33,CSU Pueblo,ThunderWolves,RMAC
34,Concord University,Mountain Lions,MEC
35,Concordia University–St. Paul,Golden Bears,NSIC
36,Davenport University,Panthers,GLIAC
37,Delta State University,Statesmen,GSC
38,East Central University,Tigers,GAC
39,East Stroudsburg University of Pennsylvania,Warriors,PSAC
40,Eastern New Mexico University,Greyhounds,LSC
41,Edinboro,Fighting Scots,PSAC
42,Edward Waters University,Tigers,SIAC
43,Elizabeth City State University,Vikings,CIAA
44,Emory and Henry College,Wasps,SAC
45,Emporia State University,Hornets,MIAA
46,Erskine College,Flying Fleet,GSC
47,Fairmont State University,Falcons,MEC
48,Fayetteville State University,Broncos,CIAA
49,Ferris State University,Bulldogs,GLIAC
50,University of Findlay,Oilers,G-MAC
51,Fort Hays State University,Tigers,MIAA
52,Fort Lewis College,Skyhawks,RMAC
53,Fort Valley State University,Wildcats,SIAC
54,Franklin Pierce University,Ravens,NE-10
55,Frostburg State University,Bobcats,MEC
56,Gannon University,Golden Knights,PSAC
57,Glenville State University,Pioneers,MEC
58,Grand Valley State University,Lakers,GLIAC
59,Harding University,Bisons,GAC
60,Henderson State University,Reddies,GAC
61,Hillsdale College,Chargers,G-MAC
62,IUP,Crimson Hawks,PSAC
63,University of Indianapolis,Greyhounds,GLVC
64,Johnson C. Smith University,Golden Bulls,CIAA
65,Kentucky State University,Thorobreds,SIAC
66,Kentucky Wesleyan College,Panthers,G-MAC
67,Kutztown University of Pennsylvania,Golden Bears,PSAC
68,Lake Erie College,Storm,G-MAC
69,Lane College,Dragons,SIAC
70,Lenoir–Rhyne University,Bears,SAC
71,Limestone University,Saints,SAC
72,Lincoln University (MO),Blue Tigers,GLVC
73,Lincoln University (PA),Lions,CIAA
74,Livingstone College,Blue Bears,CIAA
75,Lock Haven University of Pennsylvania,Bald Eagles,PSAC
76,Mars Hill University,Lions,SAC
77,University of Mary,Marauders,NSIC
78,McKendree University,Bearcats,GLVC
79,Michigan Tech,Huskies,GLIAC
80,Midwestern State University,Mustangs,LSC
81,Miles College,Golden Bears,SIAC
82,Millersville University of Pennsylvania,Marauders,PSAC
83,University of Minnesota Duluth,Bulldogs,NSIC
84,"Minnesota State University, Mankato",Mavericks,NSIC
85,Minnesota State University Moorhead,Dragons,NSIC
86,Minot State University,Beavers,NSIC
87,Mississippi College,Choctaws,GSC
88,Missouri S&T,Miners,GLVC
89,Missouri Southern State University,Lions,MIAA
90,Missouri Western State University,Griffons,MIAA
91,Morehouse College,Maroon Tigers,SIAC
92,University of Nebraska at Kearney,Lopers,MIAA
93,University of New Haven,Chargers,NE-10
94,New Mexico Highlands University,Cowboys,RMAC
95,Newberry College,Wolves,SAC
96,University of North Carolina at Pembroke,Braves,MEC
97,North Greenville University,Crusaders,GSC
98,Northeastern State University,RiverHawks,Independent
99,Northern Michigan University,Wildcats,GLIAC
100,Northern State University,Wolves,NSIC
101,Northwest Missouri State University,Bearcats,MIAA
102,Northwestern Oklahoma State University,Rangers,GAC
103,Northwood University,Timberwolves,G-MAC
104,Ohio Dominican University,Panthers,G-MAC
105,Oklahoma Baptist University,Bison,GAC
106,Ouachita Baptist University,Tigers,GAC
107,Pace University,Setters,NE-10
108,Pittsburg State University,Gorillas,MIAA
109,Post University,Eagles,NE-10
110,Quincy University,Hawks,GLVC
111,Roosevelt University,Lakers,GLIAC
112,Saginaw Valley State University,Cardinals,GLIAC
113,Saint Anselm College,Hawks,NE-10
114,Savannah State University,Tigers,SIAC
115,Seton Hill University,Griffins,PSAC
116,Shaw University,Bears,CIAA
117,Shepherd University,Rams,PSAC
118,Shippensburg University of Pennsylvania,Red Raiders,PSAC
119,Shorter University,Hawks,Independent
120,University of Sioux Falls,Cougars,NSIC
121,Slippery Rock University of Pennsylvania,The Rock,PSAC
122,South Dakota Mines,Hardrockers,RMAC
123,Southeastern Oklahoma State University,Savage Storm,GAC
124,Southern Arkansas University,Muleriders,GAC
125,Southern Connecticut State University,Fighting Owls,NE-10
126,Southern Nazarene University,Crimson Storm,GAC
127,Southwest Baptist University,Bearcats,GLVC
128,Southwest Minnesota State University,Mustangs,NSIC
129,Southwestern Oklahoma State University,Bulldogs,GAC
130,Sul Ross State University,Lobos,LSC
131,Texas A&M University–Kingsville,Javelinas,LSC
132,University of Texas Permian Basin,Falcons,LSC
133,Thomas More University,Saints,G-MAC
134,Tiffin University,Dragons,G-MAC
135,Truman State University,Bulldogs,GLVC
136,Tusculum University,Pioneers,SAC
137,Tuskegee University,Golden Tigers,SIAC
138,Upper Iowa University,Peacocks,GLVC
139,Valdosta State University,Blazers,GSC
140,Virginia State University,Trojans,CIAA
141,Virginia Union University,Panthers,CIAA
142,University of Virginia's College at Wise,Cavaliers,SAC
143,Walsh University,Cavaliers,G-MAC
144,Washburn University,Ichabods,MIAA
145,Wayne State University,Warriors,GLIAC
146,Wayne State College,Wildcats,NSIC
147,University of West Alabama,Tigers,GSC
148,West Chester University,Golden Rams,PSAC
149,University of West Florida,Argonauts,GSC
150,West Liberty University,Hilltoppers,MEC
151,West Texas A&M University,Buffaloes,LSC
152,West Virginia State University,Yellow Jackets,MEC
153,West Virginia Wesleyan College,Bobcats,MEC
154,Western Colorado University,Mountaineers,RMAC
155,Western New Mexico University,Mustangs,LSC
156,Western Oregon University,Wolves,LSC
157,Wheeling University,Cardinals,MEC
158,William Jewell College,Cardinals,GLVC
159,Wingate University,Bulldogs,SAC
160,Winona State University,Warriors,NSIC
161,Winston–Salem State University,Rams,CIAA
