,Team,Nickname,Conference
0,Air Force,Falcons,Mountain West
1,Akron,Zips,MAC
2,Alabama,Crimson Tide,SEC
3,Appalachian State,Mountaineers,Sun Belt
4,Arizona,Wildcats,Pac-12
5,Arizona State,Sun Devils,Pac-12
6,Arkansas,Razorbacks,SEC
7,Arkansas State,Red Wolves,Sun Belt
8,Army,Black Knights,Independent
9,Auburn,Tigers,SEC
10,Ball State,Cardinals,MAC
11,Baylor,Bears,Big 12
12,Boise State,Broncos,Mountain West
13,Boston College,Eagles,ACC
14,Bowling Green,Falcons,MAC
15,Buffalo,Bulls,MAC
16,BYU,Cougars,Big 12
17,California,Golden Bears,Pac-12
18,Central Michigan,Chippewas,MAC
19,Charlotte,49ers,American
20,Cincinnati,Bearcats,Big 12
21,Clemson,Tigers,ACC
22,Coastal Carolina,Chanticleers,Sun Belt
23,Colorado,Buffaloes,Pac-12
24,Colorado State,Rams,Mountain West
25,Duke,Blue Devils,ACC
26,East Carolina,Pirates,American
27,Eastern Michigan,Eagles,MAC
28,Florida Atlantic,Owls,American
29,FIU,Panthers,C-USA
30,Florida,Gators,SEC
31,Florida State,Seminoles,ACC
32,Fresno State,Bulldogs,Mountain West
33,Georgia,Bulldogs,SEC
34,Georgia Southern,Eagles,Sun Belt
35,Georgia State,Panthers,Sun Belt
36,Georgia Tech,Yellow Jackets,ACC
37,Hawaii,Rainbow Warriors,Mountain West
38,Houston,Cougars,Big 12
39,Illinois,Fighting Illini,Big Ten
40,Indiana,Hoosiers,Big Ten
41,Iowa,Hawkeyes,Big Ten
42,Iowa State,Cyclones,Big 12
43,Jacksonville State,Gamecocks,C-USA
44,James Madison,Dukes,Sun Belt
45,Kansas,Jayhawks,Big 12
46,Kansas State,Wildcats,Big 12
47,Kennesaw State,Owls,C-USA
48,Kent State,Golden Flashes,MAC
49,Kentucky,Wildcats,SEC
50,Liberty,Flames,C-USA
51,Louisiana,Ragin' Cajuns,Sun Belt
52,Louisiana–Monroe,Warhawks,Sun Belt
53,Louisiana Tech,Bulldogs,C-USA
54,Louisville,Cardinals,ACC
55,LSU,Tigers,SEC
56,Marshall,Thundering Herd,Sun Belt
57,Maryland,Terrapins,Big Ten
58,Memphis,Tigers,American
59,Miami (FL),Hurricanes,ACC
60,Miami (OH),RedHawks,MAC
61,Michigan,Wolverines,Big Ten
62,Michigan State,Spartans,Big Ten
63,Middle Tennessee,Blue Raiders,C-USA
64,Minnesota,Golden Gophers,Big Ten
65,Mississippi State,Bulldogs,SEC
66,Missouri,Tigers,SEC
67,Navy,Midshipmen,American
68,NC State,Wolfpack,ACC
69,Nebraska,Cornhuskers,Big Ten
70,Nevada,Wolf Pack,Mountain West
71,New Mexico,Lobos,Mountain West
72,New Mexico State,Aggies,C-USA
73,North Carolina,Tar Heels,ACC
74,North Texas,Mean Green,American
75,Northern Illinois,Huskies,MAC
76,Northwestern,Wildcats,Big Ten
77,Notre Dame,Fighting Irish,Independent
78,Ohio,Bobcats,MAC
79,Ohio State,Buckeyes,Big Ten
80,Oklahoma,Sooners,Big 12
81,Oklahoma State,Cowboys,Big 12
82,Old Dominion,Monarchs,Sun Belt
83,Ole Miss,Rebels,SEC
84,Oregon,Ducks,Pac-12
85,Oregon State,Beavers,Pac-12
86,Penn State,Nittany Lions,Big Ten
87,Pittsburgh,Panthers,ACC
88,Purdue,Boilermakers,Big Ten
89,Rice,Owls,American
90,Rutgers,Scarlet Knights,Big Ten
91,Sam Houston,Bearkats,C-USA
92,San Diego State,Aztecs,Mountain West
93,San Jose State,Spartans,Mountain West
94,SMU,Mustangs,ACC
95,South Alabama,Jaguars,Sun Belt
96,South Carolina,Gamecocks,SEC
97,South Florida,Bulls,American
98,Southern Miss,Golden Eagles,Sun Belt
99,Stanford,Cardinal,Pac-12
100,Syracuse,Orange,ACC
101,TCU,Horned Frogs,Big 12
102,Temple,Owls,American
103,Tennessee,Volunteers,SEC
104,Texas,Longhorns,Big 12
105,Texas A&M,Aggies,SEC
106,Texas State,Bobcats,Sun Belt
107,Texas Tech,Red Raiders,Big 12
108,Toledo,Rockets,MAC
109,Troy,Trojans,Sun Belt
110,Tulane,Green Wave,American
111,Tulsa,Golden Hurricane,American
112,UAB,Blazers,American
113,UCF,Knights,Big 12
114,UCLA,Bruins,Pac-12
115,UConn,Huskies,Independent
116,UMass,Minutemen,Independent
117,UNLV,Rebels,Mountain West
118,USC,Trojans,Pac-12
119,UTEP,Miners,C-USA
120,UTSA,Roadrunners,American
121,Utah,Utes,Pac-12
122,Utah State,Aggies,Mountain West
123,Vanderbilt,Commodores,SEC
124,Virginia,Cavaliers,ACC
125,Virginia Tech,Hokies,ACC
126,Wake Forest,Demon Deacons,ACC
127,Washington,Huskies,Pac-12
128,Washington State,Cougars,Pac-12
129,West Virginia,Mountaineers,Big 12
130,Western Kentucky,Hilltoppers,C-USA
131,Western Michigan,Broncos,MAC
132,Wisconsin,Badgers,Big Ten
133,Wyoming,Cowboys,Mountain West
