,Team,Nickname,Conference
0,Abilene Christian,Wildcats,UAC
1,Alabama A&M,Bulldogs,SWAC
2,Alabama State,Hornets,SWAC
3,Albany,Great Danes,CAA
4,Alcorn State,Braves,SWAC
5,Arkansas–Pine Bluff,Golden Lions,SWAC
6,Austin Peay,Governors,UAC
7,Bethune–Cookman,Wildcats,SWAC
8,Brown,Bears,Ivy
9,Bryant,Bulldogs,CAA
10,Bucknell,Bison,Patriot
11,Butler,Bulldogs,Pioneer
12,Cal Poly,Mustangs,Big Sky
13,Campbell,Fighting Camels,CAA
14,Central Arkansas,Bears,UAC
15,Central Connecticut,Blue Devils,Northeast
16,Charleston Southern,Buccaneers,Big South-OVC
17,Chattanooga,Mocs,Southern
18,The Citadel,Bulldogs,Southern
19,Colgate,Raiders,Patriot
20,Columbia,Lions,Ivy
21,Cornell,Big Red,Ivy
22,Dartmouth,Big Green,Ivy
23,Davidson,Wildcats,Pioneer
24,Dayton,Flyers,Pioneer
25,Delaware,Fightin' Blue Hens,CAA
26,Delaware State,Hornets,MEAC
27,Drake,Bulldogs,Pioneer
28,Duquesne,Dukes,Northeast
29,East Tennessee State,Buccaneers,Southern
30,Eastern Illinois,Panthers,Big South-OVC
31,Eastern Kentucky,Colonels,UAC
32,Eastern Washington,Eagles,Big Sky
33,Elon,Phoenix,CAA
34,Florida A&M,Rattlers,SWAC
35,Fordham,Rams,Patriot
36,Furman,Paladins,Southern
37,Gardner–Webb,Runnin' Bulldogs,Big South-OVC
38,Georgetown,Hoyas,Patriot
39,Grambling State,Tigers,SWAC
40,Hampton,Pirates,CAA
41,Harvard,Crimson,Ivy
42,Holy Cross,Crusaders,Patriot
43,Houston Christian,Huskies,Southland
44,Howard,Bison,MEAC
45,Idaho,Vandals,Big Sky
46,Idaho State,Bengals,Big Sky
47,Illinois State,Redbirds,Missouri Valley
48,Incarnate Word,Cardinals,Southland
49,Indiana State,Sycamores,Missouri Valley
50,Jackson State,Tigers,SWAC
51,Lafayette,Leopards,Patriot
52,Lamar,Cardinals,Southland
53,Lehigh,Mountain Hawks,Patriot
54,LIU,Sharks,Northeast
55,Maine,Black Bears,CAA
56,Marist,Red Foxes,Pioneer
57,McNeese,Cowboys,Southland
58,Mercer,Bears,Southern
59,Merrimack,Warriors,Independent
60,Mississippi Valley State,Delta Devils,SWAC
61,Missouri State,Bears,Missouri Valley
62,Monmouth,Hawks,CAA
63,Montana,Grizzlies,Big Sky
64,Montana State,Bobcats,Big Sky
65,Morehead State,Eagles,Pioneer
66,Morgan State,Bears,MEAC
67,Murray State,Racers,Missouri Valley
68,New Hampshire,Wildcats,CAA
69,Nicholls,Colonels,Southland
70,Norfolk State,Spartans,MEAC
71,North Alabama,Lions,UAC
72,North Carolina A&T,Aggies,CAA
73,North Carolina Central,Eagles,MEAC
74,North Dakota,Fighting Hawks,Missouri Valley
75,North Dakota State,Bison,Missouri Valley
76,Northern Arizona,Lumberjacks,Big Sky
77,Northern Colorado,Bears,Big Sky
78,Northern Iowa,Panthers,Missouri Valley
79,Northwestern State,Demons,Southland
80,Penn,Quakers,Ivy
81,Portland State,Vikings,Big Sky
82,Prairie View A&M,Panthers,SWAC
83,Presbyterian,Blue Hose,Pioneer
84,Princeton,Tigers,Ivy
85,Rhode Island,Rams,CAA
86,Richmond,Spiders,CAA
87,Robert Morris,Colonials,Northeast
88,Sacramento State,Hornets,Big Sky
89,Sacred Heart,Pioneers,Independent
90,Saint Francis (PA),Red Flash,Northeast
91,Samford,Bulldogs,Southern
92,San Diego,Toreros,Pioneer
93,South Carolina State,Bulldogs,MEAC
94,South Dakota,Coyotes,Missouri Valley
95,South Dakota State,Jackrabbits,Missouri Valley
96,Southeast Missouri State,Redhawks,Big South-OVC
97,Southeastern Louisiana,Lions,Southland
98,Southern,Jaguars,SWAC
99,Southern Illinois,Salukis,Missouri Valley
100,Southern Utah,Thunderbirds,UAC
101,Stephen F. Austin,Lumberjacks,UAC
102,Stetson,Hatters,Pioneer
103,Stony Brook,Seawolves,CAA
104,Tarleton,Texans,UAC
105,Tennessee State,Tigers,Big South-OVC
106,Tennessee Tech,Golden Eagles,Big South-OVC
107,Texas Southern,Tigers,SWAC
108,Towson,Tigers,CAA
109,UC Davis,Aggies,Big Sky
110,UT Martin,Skyhawks,Big South-OVC
111,Utah Tech,Trailblazers,UAC
112,Valparaiso,Beacons,Pioneer
113,Villanova,Wildcats,CAA
114,VMI,Keydets,Southern
115,Wagner,Seahawks,Northeast
116,Weber State,Wildcats,Big Sky
117,Western Carolina,Catamounts,Southern
118,Western Illinois,Leathernecks,Big South-OVC
119,William & Mary,Tribe,CAA
120,Wofford,Terriers,Southern
121,Yale,Bulldogs,Ivy
122,Youngstown State,Penguins,Missouri Valley
